,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
1/31/2024,"1,303.3","1,247.3","1,190.0","1,169.2","1,164.6","1,185.1","1,217.1","1,356.9","1,472.8","1,543.8","1,598.4","1,617.3","1,642.5","1,689.5","1,688.0","1,675.1","1,618.6","1,501.4","1,500.4","1,496.8","1,481.0","1,456.6","1,416.6","1,373.3"
2/1/2024,"1,302.4","1,242.1","1,198.5","1,116.7","1,089.8","1,143.6","1,183.1","1,351.1","1,453.3","1,522.7","1,579.6","1,620.2","1,658.6","1,687.6","1,697.7","1,692.3","1,631.8","1,517.5","1,503.5","1,504.9","1,474.1","1,433.7","1,404.7","1,352.8"
2/2/2024,"1,281.0","1,225.5","1,192.3","1,161.7","1,136.3","1,169.5","1,202.8","1,345.6","1,432.3","1,541.3","1,573.3","1,583.2","1,625.6","1,640.7","1,666.2","1,654.4","1,581.2","1,440.6","1,503.7","1,492.8","1,461.2","1,430.2","1,385.9","1,341.9"
2/3/2024,"1,267.1","1,225.4","1,166.3","1,137.9","1,133.0","1,137.2","1,162.5","1,213.3","1,302.7","1,396.0","1,455.8","1,481.6","1,454.7","1,464.5","1,464.1","1,468.3","1,442.4","1,409.5","1,452.0","1,481.0","1,455.5","1,436.7","1,405.6","1,362.3"
2/4/2024,"1,315.9","1,270.2","1,238.9","1,201.2","1,171.8","1,157.8","1,159.0","1,137.2","1,185.9","1,192.8","1,270.2","1,289.3","1,297.3","1,311.4","1,327.0","1,321.1","1,320.5","1,297.7","1,387.4","1,407.0","1,420.8","1,417.8","1,394.8","1,350.0"
2/5/2024,"1,306.6","1,260.6","1,221.6","1,186.6","1,172.9","1,202.6","1,265.8","1,413.2","1,501.4","1,563.0","1,603.9","1,666.2","1,674.9","1,716.6","1,720.6","1,726.1","1,677.4","1,525.2","1,559.5","1,559.8","1,550.2","1,542.9","1,502.1","1,430.8"
2/6/2024,"1,368.7","1,311.8","1,269.8","1,222.7","1,196.6","1,210.5","1,234.6","1,366.7","1,460.8","1,552.8","1,612.0","1,655.6","1,685.5","1,704.7","1,748.5","1,726.3","1,649.4","1,539.0","1,510.3","1,518.2","1,504.9","1,471.0","1,417.3","1,377.1"
2/7/2024,"1,305.3","1,253.7","1,204.2","1,164.7","1,142.2","1,170.0","1,202.5","1,321.9","1,421.2","1,462.2","1,506.8","1,526.0","1,518.8","1,536.5","1,555.6","1,517.3","1,495.3","1,364.4","1,406.5","1,410.8","1,390.6","1,359.1","1,324.4","1,286.5"
2/8/2024,"1,209.0","1,169.5","1,130.5","1,090.0","1,078.1","1,128.2","1,170.4","1,311.6","1,403.4","1,463.3","1,528.5","1,548.9","1,564.3","1,626.9","1,622.6","1,618.3","1,538.7","1,442.9","1,457.8","1,458.5","1,417.0","1,394.5","1,346.5","1,306.9"
2/9/2024,"1,245.4","1,200.4","1,155.5","1,113.1","1,089.8","1,109.3","1,139.7","1,275.0","1,368.5","1,428.2","1,473.6","1,493.4","1,503.3","1,534.4","1,560.5","1,527.3","1,482.1","1,404.8","1,411.6","1,437.1","1,404.9","1,377.5","1,336.8","1,305.5"
2/10/2024,"1,242.2","1,202.1","1,159.5","1,129.3","1,102.9","1,105.8","1,126.2","1,161.3","1,253.8","1,307.2","1,364.6","1,396.4","1,389.5","1,397.7","1,383.0","1,374.3","1,348.0","1,324.2","1,378.5","1,395.6","1,386.4","1,350.0","1,312.9","1,257.9"
2/11/2024,"1,218.3","1,193.8","1,166.5","1,132.3","1,119.7","1,104.8","1,090.1","1,082.5","1,145.8","1,157.8","1,183.5","1,210.2","1,227.1","1,254.8","1,272.5","1,287.3","1,288.5","1,288.7","1,348.6","1,353.2","1,368.9","1,351.4","1,331.3","1,290.9"
2/12/2024,"1,240.5","1,196.0","1,171.5","1,137.0","1,114.4","1,108.4","1,118.1","1,140.1","1,177.7","1,238.7","1,294.7","1,322.5","1,354.9","1,391.5","1,401.7","1,400.6","1,385.4","1,341.9","1,402.5","1,409.7","1,390.2","1,371.3","1,323.8","1,281.0"
2/13/2024,"1,225.1","1,181.5","1,151.0","1,121.1","1,086.1","1,079.6","1,086.5","1,084.6","1,133.0","1,153.8","1,183.7","1,215.9","1,244.2","1,273.0","1,278.0","1,328.1","1,317.1","1,298.2","1,379.3","1,388.4","1,397.4","1,392.3","1,368.8","1,321.8"
2/14/2024,"1,264.9","1,224.0","1,195.4","1,170.0","1,145.9","1,144.7","1,175.5","1,273.6","1,349.4","1,410.4","1,452.2","1,494.5","1,534.0","1,569.8","1,592.6","1,613.0","1,599.6","1,479.9","1,507.1","1,506.8","1,494.0","1,490.8","1,467.6","1,423.2"
2/15/2024,"1,359.1","1,312.2","1,274.1","1,230.5","1,198.0","1,220.5","1,255.7","1,419.8","1,540.7","1,602.6","1,655.6","1,669.0","1,663.6","1,695.1","1,702.2","1,686.5","1,601.1","1,485.8","1,515.7","1,528.3","1,503.7","1,504.8","1,481.0","1,427.9"
2/16/2024,"1,363.2","1,294.5","1,255.2","1,216.6","1,197.5","1,216.5","1,271.2","1,405.2","1,514.2","1,590.5","1,649.1","1,665.4","1,692.7","1,740.4","1,740.4","1,715.4","1,645.9","1,543.0","1,559.4","1,554.1","1,529.8","1,516.6","1,483.2","1,430.1"
2/17/2024,"1,370.2","1,328.4","1,273.2","1,238.4","1,218.2","1,214.0","1,239.3","1,306.6","1,410.2","1,477.7","1,546.2","1,542.2","1,546.1","1,552.4","1,545.3","1,528.6","1,507.2","1,473.2","1,516.1","1,539.8","1,517.5","1,495.2","1,466.9","1,431.3"
2/18/2024,"1,387.0","1,338.3","1,290.5","1,251.9","1,222.4","1,203.3","1,191.1","1,169.8","1,216.4","1,244.5","1,314.9","1,344.7","1,352.9","1,366.7","1,368.3","1,369.9","1,368.4","1,358.9","1,450.6","1,457.9","1,482.4","1,479.4","1,451.1","1,406.2"
2/19/2024,"1,339.3","1,294.7","1,251.8","1,220.9","1,202.9","1,238.0","1,284.4","1,459.8","1,570.6","1,629.8","1,688.2","1,718.5","1,739.2","1,724.7","1,774.3","1,749.4","1,695.3","1,549.9","1,547.8","1,556.2","1,536.6","1,538.8","1,508.6","1,456.4"
2/20/2024,"1,383.6","1,314.3","1,274.7","1,231.1","1,200.7","1,232.1","1,242.0","1,411.8","1,490.7","1,557.4","1,611.7","1,660.4","1,689.0","1,703.4","1,730.5","1,723.2","1,646.6","1,543.8","1,517.6","1,521.6","1,512.6","1,493.2","1,454.4","1,390.8"
2/21/2024,"1,323.7","1,270.0","1,207.1","1,183.0","1,151.1","1,171.0","1,223.8","1,367.6","1,451.0","1,531.1","1,612.4","1,641.1","1,646.8","1,694.8","1,708.6","1,709.1","1,633.0","1,496.0","1,498.6","1,499.3","1,492.0","1,461.4","1,422.7","1,364.5"
2/22/2024,"1,317.9","1,274.3","1,215.3","1,180.7","1,158.8","1,189.7","1,234.3","1,363.1","1,467.4","1,548.5","1,578.7","1,603.8","1,591.4","1,588.8","1,597.0","1,589.0","1,542.9","1,440.2","1,424.2","1,421.4","1,405.8","1,370.9","1,309.3","1,250.4"
2/23/2024,"1,191.9","1,146.7","1,098.9","1,078.9","1,057.1","1,081.3","1,118.0","1,266.9","1,384.1","1,455.2","1,517.9","1,553.5","1,612.1","1,635.3","1,613.2","1,596.1","1,557.6","1,460.2","1,454.3","1,468.2","1,427.7","1,397.6","1,364.0","1,316.2"
2/24/2024,"1,254.1","1,195.2","1,161.1","1,122.1","1,098.2","1,097.1","1,126.1","1,176.5","1,272.6","1,353.9","1,405.1","1,444.6","1,425.0","1,431.1","1,432.1","1,424.9","1,430.8","1,409.8","1,416.8","1,426.1","1,401.4","1,382.4","1,343.7","1,302.3"
2/25/2024,"1,268.7","1,210.1","1,150.9","1,124.1","1,096.5","1,074.1","1,080.0","1,050.5","1,084.3","1,124.0","1,183.5","1,211.9","1,243.0","1,266.2","1,265.9","1,258.2","1,247.9","1,231.7","1,295.2","1,330.1","1,345.9","1,345.3","1,295.4","1,251.1"
2/26/2024,"1,206.0","1,152.8","1,132.8","1,100.2","1,089.6","1,128.5","1,158.2","1,354.9","1,454.0","1,540.7","1,581.8","1,619.6","1,659.1","1,701.6","1,696.7","1,687.1","1,609.6","1,492.5","1,496.4","1,502.7","1,479.2","1,452.3","1,407.5","1,332.6"
2/27/2024,"1,263.7","1,199.4","1,163.9","1,145.5","1,124.1","1,153.4","1,184.2","1,329.2","1,430.3","1,505.0","1,534.5","1,613.4","1,630.7","1,678.8","1,685.6","1,654.5","1,599.0","1,503.8","1,511.8","1,521.0","1,493.8","1,474.9","1,426.6","1,371.9"
2/28/2024,"1,304.5","1,240.0","1,197.5","1,159.9","1,140.8","1,149.1","1,183.9","1,353.9","1,475.6","1,556.2","1,596.1","1,621.7","1,649.5","1,702.4","1,724.1","1,684.8","1,649.9","1,541.8","1,556.8","1,551.2","1,524.7","1,510.3","1,472.6","1,418.3"
2/29/2024,"1,339.6","1,282.7","1,230.4","1,173.8","1,161.6","1,182.5","1,218.0","1,386.0","1,478.8","1,564.9","1,616.6","1,663.4","1,661.1","1,714.0","1,710.3","1,708.9","1,671.5","1,553.2","1,541.9","1,538.7","1,524.2","1,500.8","1,466.1","1,406.9"
3/1/2024,"1,349.4","1,288.5","1,231.9","1,194.1","1,162.2","1,185.4","1,247.2","1,385.5","1,486.3","1,555.2","1,624.3","1,650.7","1,652.9","1,669.4","1,698.4","1,692.9","1,638.1","1,531.3","1,538.2","1,535.0","1,503.6","1,498.8","1,435.5","1,392.4"
3/2/2024,"1,339.7","1,287.8","1,236.6","1,196.4","1,166.9","1,157.1","1,161.0","1,211.9","1,304.3","1,384.0","1,444.3","1,454.1","1,480.2","1,471.4","1,456.5","1,474.6","1,490.0","1,444.3","1,459.8","1,475.9","1,438.9","1,418.4","1,379.5","1,346.3"
3/3/2024,"1,297.0","1,250.1","1,203.5","1,186.7","1,145.8","1,124.1","1,115.6","1,096.6","1,129.8","1,180.0","1,242.1","1,289.3","1,312.1","1,340.6","1,345.0","1,311.6","1,308.3","1,312.2","1,391.7","1,407.3","1,432.3","1,427.5","1,392.2","1,343.6"
3/4/2024,"1,271.6","1,213.8","1,168.2","1,132.6","1,104.9","1,149.3","1,168.4","1,330.9","1,451.5","1,557.8","1,621.9","1,683.7","1,691.6","1,727.4","1,743.9","1,740.8","1,662.7","1,552.9","1,527.6","1,546.5","1,532.8","1,508.2","1,464.8","1,401.4"
3/5/2024,"1,308.1","1,250.0","1,208.4","1,167.2","1,137.6","1,159.5","1,179.5","1,361.9","1,479.3","1,559.3","1,620.0","1,664.2","1,692.0","1,730.3","1,748.3","1,740.3","1,693.1","1,567.8","1,545.9","1,586.1","1,568.8","1,548.6","1,499.3","1,427.6"
3/6/2024,"1,343.8","1,281.0","1,241.3","1,204.8","1,185.4","1,216.9","1,217.9","1,396.3","1,502.1","1,585.2","1,641.5","1,702.8","1,726.3","1,760.7","1,779.5","1,771.5","1,734.6","1,613.3","1,601.1","1,625.0","1,608.0","1,587.2","1,537.7","1,474.1"
3/7/2024,"1,399.4","1,341.2","1,293.1","1,242.2","1,202.3","1,223.0","1,238.6","1,403.3","1,531.3","1,603.9","1,685.7","1,725.0","1,757.0","1,772.7","1,775.4","1,777.7","1,713.3","1,612.9","1,603.0","1,611.4","1,583.9","1,580.6","1,522.6","1,457.5"
3/8/2024,"1,381.8","1,327.8","1,279.6","1,236.2","1,207.9","1,215.2","1,233.3","1,398.2","1,511.5","1,592.9","1,664.5","1,696.1","1,711.0","1,747.4","1,762.6","1,748.3","1,697.0","1,558.7","1,598.8","1,604.4","1,581.0","1,553.3","1,495.6","1,437.2"
